x,y,u,v,p
4.9,-0.9,2.6845573e-05,2.0169458e-05,-3.7651423e-06
4.9,-0.8,-4.9752303e-05,1.9888426e-05,-5.6366625e-06
5.0,-0.8,-4.970412e-05,1.36573735e-05,-1.8373973e-06
5.0,-0.9,2.7576918e-05,1.609902e-05,-1.2763574e-07
4.8,-0.9,2.7763921e-05,2.6477268e-05,-9.668074e-06
4.8,-0.8,-4.8576654e-05,2.9143512e-05,-1.1002226e-05
4.9,-0.7,-0.00010455825,1.9788698e-05,-9.0027725e-06
5.0,-0.7,-0.00010396746,1.3086741e-05,-5.7630987e-06
4.7,-0.9,3.123566e-05,2.9105948e-05,-1.5946152e-05
4.7,-0.8,-4.571451e-05,3.276399e-05,-1.686621e-05
4.8,-0.7,-0.00010525209,3.0271645e-05,-1.3330208e-05
4.9,-0.6,-0.0001440361,1.8096005e-05,-1.2638583e-05
5.0,-0.6,-0.00014281445,1.15345465e-05,-1.0422306e-05
4.6,-0.9,3.5097346e-05,2.8582917e-05,-2.1869433e-05
4.6,-0.8,-4.2138556e-05,3.248537e-05,-2.2484368e-05
4.7,-0.7,-0.00010474191,3.51301e-05,-1.8263861e-05
4.8,-0.6,-0.00014638655,2.8995004e-05,-1.6020716e-05
4.9,-0.5,-0.00017233798,1.5768112e-05,-1.6173282e-05
5.0,-0.5,-0.0001708221,9.841381e-06,-1.4740335e-05
4.5,-0.9,3.900366e-05,2.5891153e-05,-2.7249052e-05
4.5,-0.8,-3.8222897e-05,2.9766727e-05,-2.7613807e-05
4.6,-0.7,-0.000103055296,3.557519e-05,-2.324765e-05
4.7,-0.6,-0.00014812096,3.5113568e-05,-2.0026737e-05
4.8,-0.5,-0.00017558584,2.6116944e-05,-1.8721668e-05
4.9,-0.4,-0.00019277535,1.3133473e-05,-1.9306923e-05
5.0,-0.4,-0.00019124313,8.045285e-06,-1.839524e-05
4.4,-0.9,4.256755e-05,2.1826343e-05,-3.206911e-05
4.4,-0.8,-3.42977e-05,2.5476713e-05,-3.2238524e-05
4.5,-0.7,-0.000100514124,3.3243337e-05,-2.7972257e-05
4.6,-0.6,-0.00014874755,3.6731297e-05,-2.4255207e-05
4.7,-0.5,-0.00017891546,3.2801574e-05,-2.1873764e-05
4.8,-0.4,-0.00019626861,2.240302e-05,-2.1204605e-05
4.9,-0.3,-0.00020772406,1.0601077e-05,-2.19543e-05
5.0,-0.3,-0.00020633692,6.4067144e-06,-2.1371814e-05
4.3,-0.9,4.5700068e-05,1.6965254e-05,-3.627803e-05
4.3,-0.8,-3.0526593e-05,2.0239811e-05,-3.630468e-05
4.4,-0.7,-9.737816e-05,2.9114823e-05,-3.2302847e-05
4.5,-0.6,-0.00014825109,3.5260742e-05,-2.8406803e-05
4.6,-0.5,-0.00018154568,3.551174e-05,-2.5360965e-05
4.7,-0.4,-0.00020035924,2.9085199e-05,-2.3621049e-05
4.8,-0.3,-0.00021105552,1.8508103e-05,-2.3371189e-05
4.9,-0.2,-0.00021874759,8.324944e-06,-2.4106299e-05
5.0,-0.2,-0.00021755314,4.9806576e-06,-2.373555e-05
4.2,-0.9,4.829331e-05,1.1699597e-05,-3.9875624e-05
4.2,-0.8,-2.7052487e-05,1.451318e-05,-3.9794457e-05
4.3,-0.7,-9.3958e-05,2.3831572e-05,-3.6147663e-05
4.4,-0.6,-0.0001467929,3.1759853e-05,-3.2311127e-05
4.5,-0.5,-0.00018310687,3.519385e-05,-2.8905866e-05
4.6,-0.4,-0.00020432382,3.2548956e-05,-2.642086e-05
4.7,-0.3,-0.00021529317,2.4720195e-05,-2.5244444e-05
4.8,-0.2,-0.00022172972,1.4793082e-05,-2.5177336e-05
4.9,-0.1,-0.0002268743,6.355855e-06,-2.5805151e-05
5.0,-0.1,-0.00022586543,3.7762395e-06,-2.5570871e-05
4.1,-0.9,5.0319195e-05,6.3088046e-06,-4.2880394e-05
4.1,-0.8,-2.3957979e-05,8.62599e-06,-4.2721284e-05
4.2,-0.7,-9.0458205e-05,1.7921935e-05,-3.9478247e-05
4.3,-0.6,-0.00014460289,2.6847587e-05,-3.586286e-05
4.4,-0.5,-0.00018362986,3.2691707e-05,-3.232761e-05
4.5,-0.4,-0.00020755296,3.3243974e-05,-2.9411773e-05
4.6,-0.3,-0.00021985688,2.8470577e-05,-2.7486803e-05
4.7,-0.2,-0.00022576124,2.018961e-05,-2.6641736e-05
4.8,-0.1,-0.00022947499,1.1439277e-05,-2.6630323e-05
4.9,2.4230618e-14,-0.00023277686,4.6637983e-06,-2.7098527e-05
5.0,2.3092639e-14,-0.00023192004,2.75644e-06,-2.695228e-05
4.0,-0.9,5.1775085e-05,9.7806e-07,-4.533078e-05
4.0,-0.8,-2.1285789e-05,2.7955898e-06,-4.5116925e-05
4.1,-0.7,-8.702607e-05,1.1762956e-05,-4.2297645e-05
4.2,-0.6,-0.00014190597,2.1128177e-05,-3.898986e-05
4.3,-0.5,-0.00018315493,2.85713e-05,-3.5524507e-05
4.4,-0.4,-0.0002098294,3.1772117e-05,-3.238265e-05
4.5,-0.3,-0.00022411824,2.9871318e-05,-2.9947978e-05
4.6,-0.2,-0.00023040862,2.3796449e-05,-2.8444005e-05
4.7,-0.1,-0.0002331508,1.5873406e-05,-2.7799446e-05
4.8,2.4785729e-14,-0.00023503923,8.472796e-06,-2.7752905e-05
4.9,0.1,-0.00023689827,3.1952577e-06,-2.8031654e-05
5.0,0.1,-0.0002361529,1.8794487e-06,-2.7939985e-05
3.9,-0.9,5.2686835e-05,-4.1734247e-06,-4.727279e-05
3.9,-0.8,-1.9046616e-05,-2.838079e-06,-4.7022102e-05
4.0,-0.7,-8.375967e-05,5.6104086e-06,-4.4624536e-05
4.1,-0.6,-0.00013889774,1.5017205e-05,-4.1672138e-05
4.2,-0.5,-0.00018184034,2.3425002e-05,-3.8408583e-05
4.3,-0.4,-0.00021108634,2.865533e-05,-3.5208024e-05
4.4,-0.3,-0.0002276928,2.929227e-05,-3.2478678e-05
4.5,-0.2,-0.00023512225,2.556861e-05,-3.0475016e-05
4.6,-0.1,-0.00023759,1.9050967e-05,-2.9270053e-05
4.7,2.478226e-14,-0.00023834173,1.1897871e-05,-2.8712278e-05
4.8,0.1,-0.00023889897,5.84223e-06,-2.8573751e-05
4.9,0.2,-0.0002395193,1.8820274e-06,-2.8639472e-05
5.0,0.2,-0.00023884673,1.1035697e-06,-2.8577297e-05
3.8,-0.9,5.3091255e-05,-9.074726e-06,-4.8756796e-05
3.8,-0.8,-1.7232125e-05,-8.191082e-06,-4.8482914e-05
3.9,-0.7,-8.0721285e-05,-3.6760406e-07,-4.6489517e-05
4.0,-0.6,-0.00013572862,8.808267e-06,-4.391312e-05
4.1,-0.5,-0.00017986684,1.7710687e-05,-4.0926036e-05
4.2,-0.4,-0.00021136264,2.4365369e-05,-3.781746e-05
4.3,-0.3,-0.00023038975,2.7149712e-05,-3.495266e-05
4.4,-0.2,-0.00023947126,2.5668805e-05,-3.2618642e-05
4.5,-0.1,-0.00024235385,2.0858832e-05,-3.0962303e-05
